ar,h,f,spe
MR_421_1_57_5_8_6_8,-670.221179,-670.283322,-670.469107
MR_444135_1_12_1_5_5_7,-908.268622,-908.336868,-908.524617
MR_444135_1_1_1_4_2_5,-945.943756,-946.016861,-946.259723
MR_444135_1_3_1_7_4_1,-813.269262,-813.334272,-813.533085
MR_444135_1_47_4_8_4_2,-663.799539,-663.861778,-664.073319
MR_444135_1_53_5_8_6_3,-834.197488,-834.267524,-834.470291
MR_444135_1_57_5_1_6_7,-758.975427,-759.042764,-759.243869
MR_444135_1_7_1_7_8_39,-1005.188796,-1005.259384,-1005.527776
MR_605105_1_12_1_6_5_11,-833.604273,-833.66357,-833.802096
MR_605105_1_57_5_10_6_7,-723.552817,-723.61268,-723.791757
MR_658763_1_18_2_8_4_8,-682.587104,-682.645108,-682.825641
MR_658763_1_30_3_3_3_1,-738.338835,-738.396197,-738.53843
MR_658763_1_43_4_5_5_5,-761.717646,-761.778948,-761.961284
MR_658763_1_4_1_5_5_4,-950.372981,-950.437981,-950.633481
MR_658763_1_51_4_7_8_27,-761.198661,-761.257606,-761.499829
MR_658763_1_62_6_3_8_53,-875.735958,-875.803526,-876.07189
MR_658763_1_67_7_16_8_22,-970.704716,-970.770236,-971.018406
MR_658763_1_6_1_4_7_4,-967.323442,-967.387691,-967.57904
MR_669153_1_15_1_5_8_57,-930.286493,-930.353689,-930.561184
MR_669153_1_19_2_7_5_4,-699.112062,-699.166663,-699.288015
MR_669153_1_20_2_6_6_8,-638.692779,-638.746827,-638.827326
